Fecha,Llamadas pospago salientes (miles),Llamadas prepago salientes (miles),Total de llamadas salientes (miles)
2013-03-31,3796547.0,3412766.0,7209313.0
2013-06-30,4156872.0,3699387.0,7856258.0
2013-09-30,4466727.0,3814925.0,8281653.0
2013-12-31,4743791.0,3906876.0,8650667.0
2014-03-31,4001399.0,3589181.0,7590580.0
2014-06-30,4373148.0,3942142.0,8315290.0
2014-09-30,4676132.0,4356668.0,9032801.0
2014-12-31,4957353.0,4649196.0,9606550.0
2015-03-31,4180427.0,3992229.0,8172656.0
2015-06-30,4612087.0,4081505.0,8693592.0
2015-09-30,4834496.0,4544938.0,9379434.0
2015-12-31,5015851.0,4799840.0,9815691.0
2016-03-31,4602640.0,4291789.0,8894429.0
2016-06-30,4633918.0,4362030.0,8995948.0
2016-09-30,5125311.0,3985485.0,9110796.0
2016-12-31,5977412.0,3289295.0,9266707.0
2017-03-31,5337927.0,2883162.0,8221089.0
2017-06-30,5431369.0,2753032.0,8184400.0
2017-09-30,5401689.0,2812805.0,8214493.0
2017-12-31,5506428.0,2895913.0,8402341.0
2018-03-31,4629943.0,2639039.0,7268982.0
2018-06-30,4997593.0,2617568.0,7615161.0
2018-09-30,5114169.0,2585551.0,7699720.0
2018-12-31,5415217.0,2825480.0,8240697.0
2019-03-31,4990885.379,2569627.829,7560513.208
2019-06-30,5081580.619,2632188.21,7713768.829
2019-09-30,4735771.802,2519092.632,7254864.434
2019-12-31,4935401.973999999,2665719.261,7601121.234999999
2020-03-31,4356730.507999999,2226860.973,6583591.481
2020-06-30,3944060.508,2091329.973,6035390.481
2020-09-30,4216176.507999999,2040646.973,6256823.481
2020-12-31,4653522.798,1353625.007,6007147.805000001
2021-03-31,4312129.166999999,1273253.997,5585383.163999999
2021-06-30,4343282.056,1084243.708,5427525.764
2021-09-30,4365099.785,1195388.678,5560488.463
2021-12-31,4580318.6620000005,1355532.92,5935851.582
2022-03-31,4073512.134,1265693.846,5339205.98
2022-06-30,4109735.707,1364889.022,5474624.729
2022-09-30,4123396.903,1320344.849,5443741.752
2022-12-31,3785218.008,1112907.345,4898125.353
2023-03-31,3251856.5700000003,1023503.454,4275360.024
2023-06-30,3272336.5700000003,1052369.454,4324706.024
2023-09-30,3098772.802,1095866.095,4194638.897
2023-12-31,3413225.9220000003,1165615.992,4578841.914000001
2024-03-31,2893507.5470000003,1068709.887,3962217.434
2024-06-30,2709620.477,1067027.509,3776647.986
