Fecha,Accesos por cada 100 hab
2013-03-31,154.37
2013-06-30,156.0
2013-09-30,158.59
2013-12-31,159.37
2014-03-31,148.07
2014-06-30,143.0
2014-09-30,143.44
2014-12-31,142.6
2015-03-31,140.12
2015-06-30,138.94
2015-09-30,140.56
2015-12-31,142.75
2016-03-31,141.55
2016-06-30,142.64
2016-09-30,145.6
2016-12-31,145.55
2017-03-31,143.59
2017-06-30,142.81
2017-09-30,141.05
2017-12-31,139.94
2018-03-31,136.59
2018-06-30,133.76
2018-09-30,132.02
2018-12-31,131.15
2019-03-31,131.17
2019-06-30,128.91
2019-09-30,128.68
2019-12-31,124.89
2020-03-31,123.81
2020-06-30,121.71
2020-09-30,120.18
2020-12-31,120.21
2021-03-31,123.62
2021-06-30,124.26
2021-09-30,126.01
2021-12-31,128.44
2022-03-31,128.37
2022-06-30,127.95
2022-09-30,127.98
2022-12-31,128.65
2023-03-31,129.63207816064534
2023-06-30,130.59534038463093
2023-09-30,130.9499635354215
2023-12-31,133.91753433955006
2024-03-31,133.93167822420975
2024-06-30,133.56202274294492
