Id_Provincia,Provincia,Fecha,Accesos TV por suscripción (Vrf)
1,Buenos Aires,2024-06-30,2873482
2,Capital Federal,2024-06-30,693686
3,Catamarca,2024-06-30,54865
4,Chaco,2024-06-30,115238
5,Chubut,2024-06-30,78471
6,Córdoba,2024-06-30,1118679
7,Corrientes,2024-06-30,124973
8,Entre Ríos,2024-06-30,256834
9,Formosa,2024-06-30,95485
10,Jujuy,2024-06-30,120833
11,La Pampa,2024-06-30,79240
12,La Rioja,2024-06-30,23502
13,Mendoza,2024-06-30,139272
14,Misiones,2024-06-30,133159
15,Neuquén,2024-06-30,64587
16,Río Negro,2024-06-30,97177
17,Salta,2024-06-30,224326
18,San Juan,2024-06-30,37893
19,San Luis,2024-06-30,60692
20,Santa Cruz,2024-06-30,39772
21,Santa Fe,2024-06-30,699240
22,Santiago Del Estero,2024-06-30,147131
23,Tierra Del Fuego,2024-06-30,46175
24,Tucumán,2024-06-30,129716
1,Buenos Aires,2024-03-31,3000167
2,Capital Federal,2024-03-31,705786
3,Catamarca,2024-03-31,51061
4,Chaco,2024-03-31,116721
5,Chubut,2024-03-31,77969
6,Córdoba,2024-03-31,1125896
7,Corrientes,2024-03-31,125516
8,Entre Ríos,2024-03-31,256665
9,Formosa,2024-03-31,95511
10,Jujuy,2024-03-31,120590
11,La Pampa,2024-03-31,80190
12,La Rioja,2024-03-31,23344
13,Mendoza,2024-03-31,140185
14,Misiones,2024-03-31,131919
15,Neuquén,2024-03-31,65311
16,Río Negro,2024-03-31,96041
17,Salta,2024-03-31,222358
18,San Juan,2024-03-31,38482
19,San Luis,2024-03-31,60326
20,Santa Cruz,2024-03-31,39941
21,Santa Fe,2024-03-31,703120
22,Santiago Del Estero,2024-03-31,147930
23,Tierra Del Fuego,2024-03-31,45721
24,Tucumán,2024-03-31,130749
1,Buenos Aires,2023-12-31,3030594
2,Capital Federal,2023-12-31,718322
3,Catamarca,2023-12-31,52242
4,Chaco,2023-12-31,117091
5,Chubut,2023-12-31,78209
6,Córdoba,2023-12-31,1125889
7,Corrientes,2023-12-31,126552
8,Entre Ríos,2023-12-31,258235
9,Formosa,2023-12-31,78698
10,Jujuy,2023-12-31,120720
11,La Pampa,2023-12-31,81520
12,La Rioja,2023-12-31,24095
13,Mendoza,2023-12-31,144402
14,Misiones,2023-12-31,133489
15,Neuquén,2023-12-31,66927
16,Río Negro,2023-12-31,98317
17,Salta,2023-12-31,218119
18,San Juan,2023-12-31,41603
19,San Luis,2023-12-31,52978
20,Santa Cruz,2023-12-31,42135
21,Santa Fe,2023-12-31,704457
22,Santiago Del Estero,2023-12-31,158573
23,Tierra Del Fuego,2023-12-31,45673
24,Tucumán,2023-12-31,131969
1,Buenos Aires,2023-09-30,3019720
2,Capital Federal,2023-09-30,730235
3,Catamarca,2023-09-30,56378
4,Chaco,2023-09-30,120942
5,Chubut,2023-09-30,79587
6,Córdoba,2023-09-30,1147976
7,Corrientes,2023-09-30,140356
8,Entre Ríos,2023-09-30,233002
9,Formosa,2023-09-30,75707
10,Jujuy,2023-09-30,123351
11,La Pampa,2023-09-30,82216
12,La Rioja,2023-09-30,35194
13,Mendoza,2023-09-30,143748
14,Misiones,2023-09-30,141519
15,Neuquén,2023-09-30,75294
16,Río Negro,2023-09-30,104307
17,Salta,2023-09-30,219130
18,San Juan,2023-09-30,44567
19,San Luis,2023-09-30,48751
20,Santa Cruz,2023-09-30,41366
21,Santa Fe,2023-09-30,754992
22,Santiago Del Estero,2023-09-30,149724
23,Tierra Del Fuego,2023-09-30,45759
24,Tucumán,2023-09-30,129914
1,Buenos Aires,2023-06-30,3129739
2,Capital Federal,2023-06-30,819774
3,Catamarca,2023-06-30,54376
4,Chaco,2023-06-30,124447
5,Chubut,2023-06-30,76929
6,Córdoba,2023-06-30,1213542
7,Corrientes,2023-06-30,146973
8,Entre Ríos,2023-06-30,240513
9,Formosa,2023-06-30,76360
10,Jujuy,2023-06-30,122165
11,La Pampa,2023-06-30,82353
12,La Rioja,2023-06-30,26153
13,Mendoza,2023-06-30,142785
14,Misiones,2023-06-30,146236
15,Neuquén,2023-06-30,85532
16,Río Negro,2023-06-30,103057
17,Salta,2023-06-30,226114
18,San Juan,2023-06-30,42086
19,San Luis,2023-06-30,48514
20,Santa Cruz,2023-06-30,39293
21,Santa Fe,2023-06-30,781228
22,Santiago Del Estero,2023-06-30,157347
23,Tierra Del Fuego,2023-06-30,45463
24,Tucumán,2023-06-30,145421
1,Buenos Aires,2023-03-31,3026183
2,Capital Federal,2023-03-31,754663
3,Catamarca,2023-03-31,53881
4,Chaco,2023-03-31,119111
5,Chubut,2023-03-31,77341
6,Córdoba,2023-03-31,1155500
7,Corrientes,2023-03-31,139742
8,Entre Ríos,2023-03-31,230874
9,Formosa,2023-03-31,74716
10,Jujuy,2023-03-31,120974
11,La Pampa,2023-03-31,82416
12,La Rioja,2023-03-31,25228
13,Mendoza,2023-03-31,140688
14,Misiones,2023-03-31,143074
15,Neuquén,2023-03-31,77665
16,Río Negro,2023-03-31,106875
17,Salta,2023-03-31,215732
18,San Juan,2023-03-31,42465
19,San Luis,2023-03-31,48348
20,Santa Cruz,2023-03-31,36161
21,Santa Fe,2023-03-31,758047
22,Santiago Del Estero,2023-03-31,155373
23,Tierra Del Fuego,2023-03-31,44735
24,Tucumán,2023-03-31,140620
1,Buenos Aires,2022-12-31,2965696
2,Capital Federal,2022-12-31,738948
3,Catamarca,2022-12-31,54332
4,Chaco,2022-12-31,124007
5,Chubut,2022-12-31,80548
6,Córdoba,2022-12-31,1144232
7,Corrientes,2022-12-31,138275
8,Entre Ríos,2022-12-31,232681
9,Formosa,2022-12-31,68178
10,Jujuy,2022-12-31,118439
11,La Pampa,2022-12-31,84533
12,La Rioja,2022-12-31,24198
13,Mendoza,2022-12-31,135969
14,Misiones,2022-12-31,144537
15,Neuquén,2022-12-31,75837
16,Río Negro,2022-12-31,106441
17,Salta,2022-12-31,216928
18,San Juan,2022-12-31,39665
19,San Luis,2022-12-31,48667
20,Santa Cruz,2022-12-31,36885
21,Santa Fe,2022-12-31,765310
22,Santiago Del Estero,2022-12-31,153651
23,Tierra Del Fuego,2022-12-31,44077
24,Tucumán,2022-12-31,137991
1,Buenos Aires,2022-09-30,2998021
2,Capital Federal,2022-09-30,743338
3,Catamarca,2022-09-30,52274
4,Chaco,2022-09-30,121771
5,Chubut,2022-09-30,80020
6,Córdoba,2022-09-30,1141181
7,Corrientes,2022-09-30,135711
8,Entre Ríos,2022-09-30,231102
9,Formosa,2022-09-30,68010
10,Jujuy,2022-09-30,116493
