Fecha,Accesos TV por suscripción,Accesos TV satelital
2024-06-30,7454428,1367489
2024-03-31,7601499,1445205
2023-12-31,7650809,1508789
2023-09-30,7743735,1683205
2023-06-30,8076400,1735655
2023-03-31,7770412,1766221
2022-12-31,7680025,1837878
2022-09-30,7665931,2064699
2022-06-30,7647584,2064637
2022-03-31,7564827,2049628
2021-12-31,7596758,2010217
2021-09-30,7676892,2147571
2021-06-30,7333071,2326029
2021-03-31,7346948,2261855
2020-12-31,7332508,2320365
2020-09-30,7329433,2451671
2020-06-30,7224135,2453731
2020-03-31,7221911,2456768
2019-12-31,7296185,2459872
2019-09-30,7156690,2460927
2019-06-30,7048709,2460177
2019-03-31,6971691,2473124
2018-12-31,6911972,2474558
2018-09-30,7043550,2536706
2018-06-30,6930762,2502826
2018-03-31,6932176,2466902
2017-12-31,6826025,2562320
2017-09-30,6767020,2592551
2017-06-30,6766484,2576258
2017-03-31,6603332,2531404
2016-12-31,6553801,2662031
2016-09-30,6538382,2628542
2016-06-30,6534381,2642286
2016-03-31,6505712,2539255
2015-12-31,6506102,2537610
2015-09-30,6489305,2585384
2015-06-30,6460053,2582737
2015-03-31,6409504,2495326
2014-12-31,6478044,2466184
2014-09-30,6449845,2450098
2014-06-30,6438522,2546820
