Fecha,Ingresos TV por suscripción  (miles de $),Ingresos TV satelital (miles de $)
2024-06-30,266233894.58,124814891.56
2024-03-31,191063855.97,94270533.97
2023-12-31,133582200.79,64748818.98
2023-09-30,103738032.78,51179479.92
2023-06-30,87015368.63,38625145.74
2023-03-31,74739351.28,33430741.33
2022-12-31,62432903.14826,29721126.93531
2022-09-30,52399891.49,27073190.88648
2022-06-30,46322065.49286,23559484.82987
2022-03-31,42113438.81155,21268086.24388
2021-12-31,38273391.79538,18038065.444155
2021-09-30,36398025.52693,18039519.503485
2021-06-30,33674995.79323,18038442.363725
2021-03-31,31924515.0076,18038360.963335
2020-12-31,26324098.62139,14479622.61858
2020-09-30,25386154.60254,12933200.33142
2020-06-30,24620009.49023,12544725.92763
2020-03-31,25147465.79999,12352763.87733
2019-12-31,22785446.51159,12150588.86245
2019-09-30,20284731.23072,10896197.62171
2019-06-30,18392209.46522,9937613.37531
2019-03-31,17479491.54323,8816484.12921
2018-12-31,15211246.8617383,8270871.02587947
2018-09-30,14197598.62705,8179602.99773
2018-06-30,13358361.55503,7797684.05752
2018-03-31,12277309.94512,7145424.81741
2017-12-31,11642559.2060304,6844906.42700107
2017-09-30,10764742.39712,6093649.61426
2017-06-30,9936138.83024,5764634.73465
2017-03-31,9607361.14829,5262244.08055
2016-12-31,8517141.19860001,5016640.94957
2016-09-30,8293761.48713,4653224.18098
2016-06-30,7353428.97674001,4400976.43396
2016-03-31,7137386.2338,4069679.63141
2015-12-31,6347226.85889,3635228.38998
2015-09-30,6130815.96656,3439335.70354
2015-06-30,5467604.99347,3196654.99562
2015-03-31,5292088.22197001,3021837.23175
2014-12-31,4711967.38835,2686124.01359
2014-09-30,4423008.81512,2530796.71776
2014-06-30,4053729.07358,2341708.31248
2014-03-31,3599484.35298,2001221.16707
