Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
2024,2,Buenos Aires,15.8,45.98
2024,2,Capital Federal,22.48,55.15
2024,2,Catamarca,12.79,50.29
2024,2,Chaco,9.23,34.52
2024,2,Chubut,11.92,38.88
2024,2,Córdoba,28.64,93.54
2024,2,Corrientes,10.8,41.04
2024,2,Entre Ríos,17.91,59.9
2024,2,Formosa,15.32,60.2
2024,2,Jujuy,15.05,58.86
2024,2,La Pampa,21.43,65.04
2024,2,La Rioja,5.69,21.36
2024,2,Mendoza,6.74,24.15
2024,2,Misiones,10.14,37.22
2024,2,Neuquén,9.28,31.17
2024,2,Río Negro,12.4,40.3
2024,2,Salta,15.03,62.08
2024,2,San Juan,4.66,18.29
2024,2,San Luis,11.39,39.82
2024,2,Santa Cruz,9.91,33.32
2024,2,Santa Fe,19.21,61.1
2024,2,Santiago Del Estero,14.47,58.32
2024,2,Tierra Del Fuego,24.27,81.88
2024,2,Tucumán,7.32,29.57
2024,1,Buenos Aires,16.53,48.24
2024,1,Capital Federal,22.88,56.07
2024,1,Catamarca,11.93,46.89
2024,1,Chaco,9.37,35.04
2024,1,Chubut,11.89,38.78
2024,1,Córdoba,28.89,94.36
2024,1,Corrientes,10.87,41.29
2024,1,Entre Ríos,17.93,59.99
2024,1,Formosa,15.35,60.32
2024,1,Jujuy,15.06,58.89
2024,1,La Pampa,21.73,65.94
2024,1,La Rioja,5.66,21.28
2024,1,Mendoza,6.8,24.36
2024,1,Misiones,10.07,36.96
2024,1,Neuquén,9.41,31.61
2024,1,Río Negro,12.29,39.95
2024,1,Salta,14.95,61.71
2024,1,San Juan,4.74,18.62
2024,1,San Luis,11.36,39.69
2024,1,Santa Cruz,10.01,33.65
2024,1,Santa Fe,19.35,61.54
2024,1,Santiago Del Estero,14.59,58.77
2024,1,Tierra Del Fuego,24.17,81.54
2024,1,Tucumán,7.4,29.89
2023,4,Buenos Aires,16.74,48.96
2023,4,Capital Federal,23.29,57.01
2023,4,Catamarca,12.23,48.07
2023,4,Chaco,9.42,35.23
2023,4,Chubut,11.97,39.05
2023,4,Córdoba,28.96,94.59
2023,4,Corrientes,10.98,41.71
2023,4,Entre Ríos,18.08,60.48
2023,4,Formosa,12.67,49.79
2023,4,Jujuy,15.11,59.1
2023,4,La Pampa,22.13,67.17
2023,4,La Rioja,5.86,22.03
2023,4,Mendoza,7.02,25.15
2023,4,Misiones,10.21,37.5
2023,4,Neuquén,9.67,32.49
2023,4,Río Negro,12.61,41.02
2023,4,Salta,14.7,60.71
2023,4,San Juan,5.14,20.18
2023,4,San Luis,10.0,34.96
2023,4,Santa Cruz,10.62,35.7
2023,4,Santa Fe,19.42,61.77
2023,4,Santiago Del Estero,15.67,63.15
2023,4,Tierra Del Fuego,24.28,81.92
2023,4,Tucumán,7.49,30.25
2023,3,Buenos Aires,16.71,49.01
2023,3,Capital Federal,23.68,57.9
2023,3,Catamarca,13.22,51.98
2023,3,Chaco,9.75,36.47
2023,3,Chubut,12.23,39.89
2023,3,Córdoba,29.6,96.67
2023,3,Corrientes,12.2,46.35
2023,3,Entre Ríos,16.35,54.69
2023,3,Formosa,12.21,47.98
2023,3,Jujuy,15.48,60.54
2023,3,La Pampa,22.36,67.87
2023,3,La Rioja,8.59,32.28
2023,3,Mendoza,7.0,25.1
2023,3,Misiones,10.85,39.85
2023,3,Neuquén,10.91,36.65
2023,3,Río Negro,13.42,43.64
2023,3,Salta,14.81,61.17
2023,3,San Juan,5.52,21.68
2023,3,San Luis,9.23,32.26
2023,3,Santa Cruz,10.49,35.25
2023,3,Santa Fe,20.85,66.32
2023,3,Santiago Del Estero,14.83,59.77
2023,3,Tierra Del Fuego,24.47,82.55
2023,3,Tucumán,7.4,29.86
2023,2,Buenos Aires,17.36,51.04
2023,2,Capital Federal,26.59,64.95
2023,2,Catamarca,12.78,50.23
2023,2,Chaco,10.05,37.61
2023,2,Chubut,11.86,38.7
2023,2,Córdoba,31.36,102.43
2023,2,Corrientes,12.8,48.63
2023,2,Entre Ríos,16.91,56.57
2023,2,Formosa,12.34,48.48
2023,2,Jujuy,15.37,60.11
2023,2,La Pampa,22.44,68.11
2023,2,La Rioja,6.4,24.06
2023,2,Mendoza,6.97,24.99
2023,2,Misiones,11.24,41.28
2023,2,Neuquén,12.43,41.76
2023,2,Río Negro,13.3,43.24
2023,2,Salta,15.33,63.3
2023,2,San Juan,5.23,20.52
2023,2,San Luis,9.21,32.2
2023,2,Santa Cruz,10.02,33.68
2023,2,Santa Fe,21.62,68.75
2023,2,Santiago Del Estero,15.63,62.96
2023,2,Tierra Del Fuego,24.45,82.48
2023,2,Tucumán,8.3,33.51
2023,1,Buenos Aires,16.83,49.59
2023,1,Capital Federal,24.48,59.73
2023,1,Catamarca,12.69,49.87
2023,1,Chaco,9.64,36.08
2023,1,Chubut,11.97,39.06
2023,1,Córdoba,29.93,97.77
2023,1,Corrientes,12.2,46.33
2023,1,Entre Ríos,16.27,54.42
2023,1,Formosa,12.1,47.53
2023,1,Jujuy,15.26,59.67
2023,1,La Pampa,22.5,68.3
2023,1,La Rioja,6.2,23.28
2023,1,Mendoza,6.89,24.68
2023,1,Misiones,11.03,40.49
2023,1,Neuquén,11.32,38.03
