Id_Provincia,Provincia,Id_Partido,Partido,Id_Localidad,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
1,BUENOS AIRES,1,25 de Mayo,1,25 de Mayo,SI,SI,None,None,SI,SI,SI,SI,SI,6854100.0,-35.4339385892588,-60.1731209454056
1,BUENOS AIRES,1,25 de Mayo,2,Agustín Mosconi,None,None,None,None,None,None,SI,None,None,6854010.0,-35.7392169542026,-60.5590634621789
1,BUENOS AIRES,1,25 de Mayo,3,Del Valle,SI,None,None,None,SI,None,None,SI,None,6854020.0,-35.8973453887603,-60.7316089512944
1,BUENOS AIRES,1,25 de Mayo,4,Ernestina,SI,None,None,None,None,None,SI,None,None,6854030.0,-35.2702340519789,-59.5575034078873
1,BUENOS AIRES,1,25 de Mayo,5,Gobernador Ugarte,None,None,None,None,None,SI,None,None,None,6854040.0,-35.1643973648093,-60.0813577815069
1,BUENOS AIRES,1,25 de Mayo,6,Lucas Monteverde,None,None,None,None,None,SI,None,None,None,6854050.0,-35.4838272164734,-59.9880647932831
1,BUENOS AIRES,1,25 de Mayo,7,Norberto de la Riestra,None,SI,None,SI,None,SI,SI,SI,SI,6854060.0,-35.2727788695321,-59.7719327250509
1,BUENOS AIRES,1,25 de Mayo,8,Pedernales,SI,None,None,SI,None,SI,SI,None,SI,6854070.0,-35.2666085074294,-59.6306574695384
1,BUENOS AIRES,1,25 de Mayo,9,San Enrique,None,None,None,None,None,None,SI,None,None,6854080.0,-35.7785028686085,-60.3546454811901
1,BUENOS AIRES,1,25 de Mayo,10,Valdés,None,None,None,None,None,None,SI,None,SI,6854090.0,-35.6488128268597,-60.4672591673156
1,BUENOS AIRES,2,9 de Julio,11,12 de Octubre,None,None,None,None,None,SI,SI,None,None,6588030.0,-35.607730780146,-60.9182929927645
1,BUENOS AIRES,2,9 de Julio,12,9 de Julio,SI,SI,SI,SI,None,SI,SI,SI,SI,6588100.0,-35.4447435053964,-60.8843433362719
1,BUENOS AIRES,3,Alberti,13,Villa María,None,None,None,None,None,None,None,None,None,6021060.0,-34.8881255447686,-60.3469385614883
1,BUENOS AIRES,3,Alberti,14,Villa Ortiz (Est. Coronel Mom),None,None,None,None,None,SI,SI,SI,SI,6021070.0,-34.8435329449862,-60.3048498633642
1,BUENOS AIRES,4,Almirante Brown,15,Adrogué,SI,SI,SI,SI,SI,SI,SI,SI,SI,6028010.0,-34.8015580737331,-58.3914677191541
1,BUENOS AIRES,4,Almirante Brown,16,Burzaco,SI,SI,SI,SI,SI,SI,SI,SI,SI,6028010.0,-34.8315415891783,-58.3986874871405
1,BUENOS AIRES,4,Almirante Brown,17,Claypole,SI,SI,SI,SI,None,SI,SI,SI,SI,6028010.0,-34.8044759080477,-58.3447825531042
