Fecha,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros)
2014-03-31,9562231,7897980,1065834,30917,567500
2014-06-30,9548994,7872511,1073038,31339,572106
2014-09-30,9613361,7924613,1091747,32516,564485
2014-12-31,9689752,7989623,1106502,33139,560488
2015-03-31,10086221,8358053,1134427,36888,556853
2015-06-30,9991190,8291156,1103025,34419,562590
2015-09-30,10050617,8364541,1095767,35230,555079
2015-12-31,9975798,8380800,1003363,35161,556474
2016-03-31,10239381,8950226,721226,37841,530088
2016-06-30,10379749,9037000,759247,38093,545409
2016-09-30,10130489,8829818,724585,37068,539018
2016-12-31,10260812,8971186,721607,37856,530163
2017-03-31,10239381,8950226,721226,37841,530088
2017-06-30,10379749,9037000,759247,38093,545409
2017-09-30,10130489,8829818,724585,37068,539018
2017-12-31,10260812,8971186,721607,37856,530163
2018-03-31,9666921,8490573,711654,37447,427247
2018-06-30,9703699,8638311,712144,38473,314771
2018-09-30,9694988,8656721,709503,38828,289936
2018-12-31,9805917,8764892,715700,39825,285500
2019-03-31,8327400,7360178,655594,34826,276802
2019-06-30,8129983,7177951,640458,34264,277310
2019-09-30,7892689,7069250,619801,34329,169309
2019-12-31,7762812,6942553,618847,34546,166866
2020-03-31,7555630,6778310,605915,33415,137990
2020-06-30,7463257,6694729,598402,34391,135735
2020-09-30,7432548,6712162,542624,36283,141479
2020-12-31,7364032,6621370,579315,34155,129192
2021-03-31,7200461,6459673,557287,34041,149460
2021-06-30,7081716,6378508,545706,34144,123358
2021-09-30,7003303,6311742,536500,34225,120836
2021-12-31,7626355,6933738,538714,34262,119641
2022-03-31,7223205,6452832,627770,26807,115796
2022-06-30,7057734,6307810,610291,26749,112884
2022-09-30,7024647,6292004,597354,26497,108792
2022-12-31,7040872,6307995,594245,27073,111559
2023-03-31,7012760,6182939,695300,27143,107378
2023-06-30,7168276,6345802,694975,27297,100202
2023-09-30,7132755,6323673,685453,27460,96169
2023-12-31,7034211,6242915,669618,27789,93889
2024-03-31,6908056,6161229,630018,27462,89347
2024-06-30,7034211,6242915,669618,27789,93889
