Fecha,Ingresos (miles de $)
2014-03-31,2916071.754
2014-06-30,2974865.204
2014-09-30,3105462.022
2014-12-31,3339690.895
2015-03-31,3260124.752
2015-06-30,3425518.48
2015-09-30,3590883.181
2015-12-31,3815364.119
2016-03-31,4198260.392
2016-06-30,4718769.816
2016-09-30,4951967.656
2016-12-31,4964596.393
2017-03-31,6375681.756
2017-06-30,6970617.225
2017-09-30,6667943.526
2017-12-31,5514336.188
2018-03-31,8252279.991
2018-06-30,7911723.066
2018-09-30,10111350.574
2018-12-31,8997157.88
2019-03-31,12238568.393
2019-06-30,14181055.209
2019-09-30,13404569.149
2019-12-31,20321577.161
2020-03-31,17067597.815
2020-06-30,21035522.89
2020-09-30,18162023.887
2020-12-31,19750303.976
2021-03-31,21378667.685
2021-06-30,22178751.89
2021-09-30,20789995.213
2021-12-31,40616059.171
2022-03-31,30583344.001
2022-06-30,31258182.505
2022-09-30,29698512.567
2022-12-31,32356913.919
2023-03-31,60878900.187
2023-06-30,64560388.187
2023-09-30,58985969.276
2023-12-31,62663319.903
2024-03-31,142662288.123
2024-06-30,192408357.33
