Fecha,Provincia,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Id_Provincia
2024-06-30,Buenos Aires,3147886,2793773,299661,12436,42016,1
2024-06-30,Capital Federal,1651854,1466033,157247,6526,22048,2
2024-06-30,Catamarca,20365,18074,1939,80,272,3
2024-06-30,Chaco,53967,47897,5137,213,720,4
2024-06-30,Chubut,54140,48049,5154,214,723,5
2024-06-30,Córdoba,481423,427266,45829,1902,6426,6
2024-06-30,Corrientes,79872,70887,7603,316,1066,7
2024-06-30,Entre Ríos,145429,129069,13844,575,1941,8
2024-06-30,Formosa,35792,31766,3407,141,478,9
2024-06-30,Jujuy,27787,24661,2645,110,371,10
2024-06-30,La Pampa,67546,59947,6430,267,902,11
2024-06-30,La Rioja,23011,20422,2191,91,307,12
2024-06-30,Mendoza,188693,167466,17963,745,2519,13
2024-06-30,Misiones,68152,60485,6488,269,910,14
2024-06-30,Neuquén,67617,60010,6437,267,903,15
2024-06-30,Río Negro,69523,61702,6618,275,928,16
2024-06-30,Salta,74846,66426,7125,296,999,17
2024-06-30,San Juan,53493,47476,5092,211,714,18
2024-06-30,San Luis,27921,24780,2658,110,373,19
2024-06-30,Santa Cruz,22302,19793,2123,88,298,20
2024-06-30,Santa Fe,451887,401053,43017,1785,6032,21
2024-06-30,Santiago del Estero,59124,52473,5628,234,789,22
2024-06-30,Tierra del Fuego,14752,13093,1404,58,197,23
2024-06-30,Tucumán,146831,130314,13977,580,1960,24
2024-03-31,Buenos Aires,2921175,2605367,266413,11613,37782,1
2024-03-31,Capital Federal,1420490,1266922,129549,5647,18372,2
2024-03-31,Catamarca,26937,24025,2457,107,348,3
2024-03-31,Chaco,76782,68481,7003,305,993,4
2024-03-31,Chubut,57561,51338,5250,229,744,5
2024-03-31,Córdoba,551443,491827,50292,2192,7132,6
2024-03-31,Corrientes,79867,71232,7284,318,1033,7
2024-03-31,Entre Ríos,170620,152174,15561,678,2207,8
2024-03-31,Formosa,30877,27539,2816,123,399,9
2024-03-31,Jujuy,43517,38812,3969,173,563,10
2024-03-31,La Pampa,66325,59154,6049,264,858,11
2024-03-31,La Rioja,24555,21900,2239,98,318,12
2024-03-31,Mendoza,172145,153535,15700,684,2226,13
2024-03-31,Misiones,84026,74942,7663,334,1087,14
2024-03-31,Neuquén,61384,54748,5598,244,794,15
2024-03-31,Río Negro,69529,62013,6341,276,899,16
2024-03-31,Salta,97425,86893,8885,387,1260,17
2024-03-31,San Juan,59837,53368,5457,238,774,18
2024-03-31,San Luis,28995,25861,2644,115,375,19
2024-03-31,Santa Cruz,21691,19346,1978,86,281,20
2024-03-31,Santa Fe,598071,533414,54544,2378,7735,21
2024-03-31,Santiago del Estero,62660,55886,5715,249,810,22
2024-03-31,Tierra del Fuego,16805,14988,1533,67,217,23
2024-03-31,Tucumán,165341,147467,15079,657,2138,24
2023-12-31,Buenos Aires,3147886,2793773,299661,12436,42016,1
2023-12-31,Capital Federal,1651854,1466033,157247,6526,22048,2
2023-12-31,Catamarca,20365,18074,1939,80,272,3
2023-12-31,Chaco,53967,47897,5137,213,720,4
2023-12-31,Chubut,54140,48049,5154,214,723,5
2023-12-31,Córdoba,481423,427266,45829,1902,6426,6
2023-12-31,Corrientes,79872,70887,7603,316,1066,7
2023-12-31,Entre Ríos,145429,129069,13844,575,1941,8
2023-12-31,Formosa,35792,31766,3407,141,478,9
2023-12-31,Jujuy,27787,24661,2645,110,371,10
2023-12-31,La Pampa,67546,59947,6430,267,902,11
2023-12-31,La Rioja,23011,20422,2191,91,307,12
2023-12-31,Mendoza,188693,167466,17963,745,2519,13
2023-12-31,Misiones,68152,60485,6488,269,910,14
2023-12-31,Neuquén,67617,60010,6437,267,903,15
2023-12-31,Río Negro,69523,61702,6618,275,928,16
2023-12-31,Salta,74846,66426,7125,296,999,17
2023-12-31,San Juan,53493,47476,5092,211,714,18
2023-12-31,San Luis,27921,24780,2658,110,373,19
2023-12-31,Santa Cruz,22302,19793,2123,88,298,20
2023-12-31,Santa Fe,451887,401053,43017,1785,6032,21
2023-12-31,Santiago del Estero,59124,52473,5628,234,789,22
2023-12-31,Tierra del Fuego,14752,13093,1404,58,197,23
2023-12-31,Tucumán,146831,130314,13977,580,1960,24
2023-09-30,Buenos Aires,3192214,2830114,306770,12290,43040,1
2023-09-30,Capital Federal,1680216,1489625,161468,6469,22654,2
2023-09-30,Catamarca,21077,18687,2025,81,284,3
2023-09-30,Chaco,56620,50198,5441,218,763,4
2023-09-30,Chubut,60327,53485,5797,232,813,5
2023-09-30,Córdoba,468606,415451,45033,1804,6318,6
2023-09-30,Corrientes,82141,72824,7894,316,1107,7
2023-09-30,Entre Ríos,148872,131985,14307,573,2007,8
2023-09-30,Formosa,34259,30373,3292,132,462,9
2023-09-30,Jujuy,28858,25585,2773,111,389,10
2023-09-30,La Pampa,67389,59745,6476,259,909,11
2023-09-30,La Rioja,23368,20717,2246,90,315,12
2023-09-30,Mendoza,170143,150843,16351,655,2294,13
2023-09-30,Misiones,70473,62480,6772,271,950,14
2023-09-30,Neuquén,74704,66230,7179,288,1007,15
2023-09-30,Río Negro,66524,58978,6393,256,897,16
2023-09-30,Salta,77616,68812,7459,299,1046,17
2023-09-30,San Juan,63651,56431,6117,245,858,18
2023-09-30,San Luis,26296,23313,2527,101,355,19
2023-09-30,Santa Cruz,23283,20642,2237,90,314,20
2023-09-30,Santa Fe,465173,412407,44703,1791,6272,21
2023-09-30,Santiago del Estero,60395,53544,5804,233,814,22
2023-09-30,Tierra del Fuego,19848,17597,1907,76,268,23
2023-09-30,Tucumán,150702,133608,14482,580,2032,24
2023-06-30,Buenos Aires,3147886,2793773,299661,12436,42016,1
2023-06-30,Capital Federal,1651854,1466033,157247,6526,22048,2
2023-06-30,Catamarca,20365,18074,1939,80,272,3
2023-06-30,Chaco,53967,47897,5137,213,720,4
2023-06-30,Chubut,54140,48049,5154,214,723,5
2023-06-30,Córdoba,481423,427266,45829,1902,6426,6
2023-06-30,Corrientes,79872,70887,7603,316,1066,7
2023-06-30,Entre Ríos,145429,129069,13844,575,1941,8
2023-06-30,Formosa,35792,31766,3407,141,478,9
2023-06-30,Jujuy,27787,24661,2645,110,371,10
2023-06-30,La Pampa,67546,59947,6430,267,902,11
2023-06-30,La Rioja,23011,20422,2191,91,307,12
2023-06-30,Mendoza,188693,167466,17963,745,2519,13
2023-06-30,Misiones,68152,60485,6488,269,910,14
2023-06-30,Neuquén,67617,60010,6437,267,903,15
2023-06-30,Río Negro,69523,61702,6618,275,928,16
2023-06-30,Salta,74846,66426,7125,296,999,17
2023-06-30,San Juan,53493,47476,5092,211,714,18
2023-06-30,San Luis,27921,24780,2658,110,373,19
2023-06-30,Santa Cruz,22302,19793,2123,88,298,20
2023-06-30,Santa Fe,451887,401053,43017,1785,6032,21
2023-06-30,Santiago del Estero,59124,52473,5628,234,789,22
2023-06-30,Tierra del Fuego,14752,13093,1404,58,197,23
2023-06-30,Tucumán,146831,130314,13977,580,1960,24
