Id_Provincia,Provincia,Fecha,Banda ancha fija,Dial up,Total
1,Buenos Aires,2024-06-30,4983480,5900.0,4989380
2,Capital Federal,2024-06-30,1461549,2050.0,1463599
3,Catamarca,2024-06-30,75073,1.0,75074
4,Chaco,2024-06-30,147087,5.0,147092
5,Chubut,2024-06-30,173366,857.0,174223
6,Córdoba,2024-06-30,1085711,63.0,1085774
7,Corrientes,2024-06-30,156472,3.0,156475
8,Entre Ríos,2024-06-30,294291,20.0,294311
9,Formosa,2024-06-30,62950,0.0,62950
10,Jujuy,2024-06-30,119684,0.0,119684
11,La Pampa,2024-06-30,123101,162.0,123263
12,La Rioja,2024-06-30,87477,4.0,87481
13,Mendoza,2024-06-30,300923,730.0,301653
14,Misiones,2024-06-30,206554,0.0,206554
15,Neuquén,2024-06-30,163103,439.0,163542
16,Río Negro,2024-06-30,171526,515.0,172041
17,Salta,2024-06-30,201336,5.0,201341
18,San Juan,2024-06-30,105743,247.0,105990
19,San Luis,2024-06-30,157444,165.0,157609
20,Santa Cruz,2024-06-30,83274,187.0,83461
21,Santa Fe,2024-06-30,930867,106.0,930973
22,Santiago Del Estero,2024-06-30,125312,2.0,125314
23,Tierra Del Fuego,2024-06-30,61104,305.0,61409
24,Tucumán,2024-06-30,266887,27.0,266914
1,Buenos Aires,2024-03-31,5038657,5900.0,5044557
2,Capital Federal,2024-03-31,1502661,2050.0,1504711
3,Catamarca,2024-03-31,74932,1.0,74933
4,Chaco,2024-03-31,155538,5.0,155543
5,Chubut,2024-03-31,169819,857.0,170676
6,Córdoba,2024-03-31,1082136,63.0,1082199
7,Corrientes,2024-03-31,157891,3.0,157894
8,Entre Ríos,2024-03-31,296532,20.0,296552
9,Formosa,2024-03-31,62718,0.0,62718
10,Jujuy,2024-03-31,118053,0.0,118053
11,La Pampa,2024-03-31,122033,162.0,122195
12,La Rioja,2024-03-31,87778,4.0,87782
13,Mendoza,2024-03-31,301867,730.0,302597
14,Misiones,2024-03-31,202556,0.0,202556
15,Neuquén,2024-03-31,163807,439.0,164246
16,Río Negro,2024-03-31,170504,515.0,171019
17,Salta,2024-03-31,202856,5.0,202861
18,San Juan,2024-03-31,106419,247.0,106666
19,San Luis,2024-03-31,155925,165.0,156090
20,Santa Cruz,2024-03-31,80021,187.0,80208
21,Santa Fe,2024-03-31,918482,106.0,918588
22,Santiago Del Estero,2024-03-31,124360,2.0,124362
23,Tierra Del Fuego,2024-03-31,61250,305.0,61555
24,Tucumán,2024-03-31,264568,27.0,264595
1,Buenos Aires,2023-12-31,5005720,5900.0,5011620
2,Capital Federal,2023-12-31,1472317,2050.0,1474367
3,Catamarca,2023-12-31,74586,1.0,74587
4,Chaco,2023-12-31,147381,5.0,147386
5,Chubut,2023-12-31,169313,857.0,170170
6,Córdoba,2023-12-31,1079239,63.0,1079302
7,Corrientes,2023-12-31,159469,3.0,159472
8,Entre Ríos,2023-12-31,298617,20.0,298637
9,Formosa,2023-12-31,62002,0.0,62002
10,Jujuy,2023-12-31,118020,0.0,118020
11,La Pampa,2023-12-31,121164,162.0,121326
12,La Rioja,2023-12-31,87717,4.0,87721
13,Mendoza,2023-12-31,298621,730.0,299351
14,Misiones,2023-12-31,200333,0.0,200333
15,Neuquén,2023-12-31,164188,439.0,164627
16,Río Negro,2023-12-31,167902,515.0,168417
17,Salta,2023-12-31,204727,5.0,204732
18,San Juan,2023-12-31,102963,247.0,103210
19,San Luis,2023-12-31,154520,165.0,154685
20,Santa Cruz,2023-12-31,86844,187.0,87031
21,Santa Fe,2023-12-31,909395,106.0,909501
22,Santiago Del Estero,2023-12-31,123228,2.0,123230
23,Tierra Del Fuego,2023-12-31,61294,305.0,61599
24,Tucumán,2023-12-31,266308,27.0,266335
1,Buenos Aires,2023-09-30,4962337,5900.0,4968237
2,Capital Federal,2023-09-30,1465934,2050.0,1467984
3,Catamarca,2023-09-30,74354,1.0,74355
4,Chaco,2023-09-30,142141,5.0,142146
5,Chubut,2023-09-30,167211,857.0,168068
6,Córdoba,2023-09-30,1069271,63.0,1069334
7,Corrientes,2023-09-30,159826,3.0,159829
8,Entre Ríos,2023-09-30,293273,20.0,293293
9,Formosa,2023-09-30,61314,0.0,61314
10,Jujuy,2023-09-30,117377,0.0,117377
11,La Pampa,2023-09-30,119759,162.0,119921
12,La Rioja,2023-09-30,87697,4.0,87701
13,Mendoza,2023-09-30,297292,730.0,298022
14,Misiones,2023-09-30,197135,0.0,197135
15,Neuquén,2023-09-30,163834,439.0,164273
16,Río Negro,2023-09-30,162970,515.0,163485
17,Salta,2023-09-30,206228,5.0,206233
18,San Juan,2023-09-30,103483,247.0,103730
19,San Luis,2023-09-30,148751,165.0,148916
20,Santa Cruz,2023-09-30,47800,187.0,47987
21,Santa Fe,2023-09-30,900246,106.0,900352
22,Santiago Del Estero,2023-09-30,121926,2.0,121928
23,Tierra Del Fuego,2023-09-30,58426,305.0,58731
24,Tucumán,2023-09-30,266530,27.0,266557
1,Buenos Aires,2023-06-30,4879442,6046.0,4885488
2,Capital Federal,2023-06-30,1455578,2100.0,1457678
3,Catamarca,2023-06-30,72989,1.0,72990
4,Chaco,2023-06-30,141850,5.0,141855
5,Chubut,2023-06-30,163078,883.0,163961
6,Córdoba,2023-06-30,1067686,65.0,1067751
7,Corrientes,2023-06-30,158290,4.0,158294
8,Entre Ríos,2023-06-30,273927,20.0,273947
9,Formosa,2023-06-30,60350,0.0,60350
10,Jujuy,2023-06-30,117442,0.0,117442
11,La Pampa,2023-06-30,118744,166.0,118910
12,La Rioja,2023-06-30,86968,4.0,86972
13,Mendoza,2023-06-30,296921,755.0,297676
14,Misiones,2023-06-30,195471,0.0,195471
15,Neuquén,2023-06-30,161289,457.0,161746
16,Río Negro,2023-06-30,162848,531.0,163379
17,Salta,2023-06-30,205323,5.0,205328
18,San Juan,2023-06-30,97189,260.0,97449
19,San Luis,2023-06-30,140575,173.0,140748
20,Santa Cruz,2023-06-30,48410,192.0,48602
21,Santa Fe,2023-06-30,895706,108.0,895814
22,Santiago Del Estero,2023-06-30,117807,2.0,117809
23,Tierra Del Fuego,2023-06-30,58325,310.0,58635
24,Tucumán,2023-06-30,263573,29.0,263602
1,Buenos Aires,2023-03-31,4814729,6199.0,4820928
2,Capital Federal,2023-03-31,1546584,2145.0,1548729
3,Catamarca,2023-03-31,71491,1.0,71492
4,Chaco,2023-03-31,142437,5.0,142442
5,Chubut,2023-03-31,169149,904.0,170053
6,Córdoba,2023-03-31,1049904,68.0,1049972
7,Corrientes,2023-03-31,157016,4.0,157020
8,Entre Ríos,2023-03-31,274856,22.0,274878
9,Formosa,2023-03-31,60985,0.0,60985
10,Jujuy,2023-03-31,117981,0.0,117981
11,La Pampa,2023-03-31,116333,171.0,116504
12,La Rioja,2023-03-31,86401,4.0,86405
13,Mendoza,2023-03-31,292242,777.0,293019
14,Misiones,2023-03-31,190685,0.0,190685
15,Neuquén,2023-03-31,159944,468.0,160412
16,Río Negro,2023-03-31,163783,548.0,164331
17,Salta,2023-03-31,205421,5.0,205426
18,San Juan,2023-03-31,101486,281.0,101767
19,San Luis,2023-03-31,135281,182.0,135463
20,Santa Cruz,2023-03-31,50163,198.0,50361
