Id_Provincia,Provincia,Fecha,Accesos por cada 100 hogares
1,Buenos Aires,2024-06-30,79.84
2,Capital Federal,2024-06-30,116.37
3,Catamarca,2024-06-30,68.81
4,Chaco,2024-06-30,44.06
5,Chubut,2024-06-30,86.33
6,Córdoba,2024-06-30,90.79
7,Corrientes,2024-06-30,51.38
8,Entre Ríos,2024-06-30,68.64
9,Formosa,2024-06-30,39.69
10,Jujuy,2024-06-30,58.3
11,La Pampa,2024-06-30,101.17
12,La Rioja,2024-06-30,79.52
13,Mendoza,2024-06-30,52.3
14,Misiones,2024-06-30,57.73
15,Neuquén,2024-06-30,78.93
16,Río Negro,2024-06-30,71.35
17,Salta,2024-06-30,55.72
18,San Juan,2024-06-30,51.17
19,San Luis,2024-06-30,103.4
20,Santa Cruz,2024-06-30,69.92
21,Santa Fe,2024-06-30,81.34
22,Santiago Del Estero,2024-06-30,49.67
23,Tierra Del Fuego,2024-06-30,108.89
24,Tucumán,2024-06-30,60.84
1,Buenos Aires,2024-03-31,81.1
2,Capital Federal,2024-03-31,119.53
3,Catamarca,2024-03-31,68.82
4,Chaco,2024-03-31,46.7
5,Chubut,2024-03-31,84.89
6,Córdoba,2024-03-31,90.7
7,Corrientes,2024-03-31,51.94
8,Entre Ríos,2024-03-31,69.31
9,Formosa,2024-03-31,39.61
10,Jujuy,2024-03-31,57.65
11,La Pampa,2024-03-31,100.49
12,La Rioja,2024-03-31,80.03
13,Mendoza,2024-03-31,52.59
14,Misiones,2024-03-31,56.76
15,Neuquén,2024-03-31,79.5
16,Río Negro,2024-03-31,71.14
17,Salta,2024-03-31,56.3
18,San Juan,2024-03-31,51.62
19,San Luis,2024-03-31,102.7
20,Santa Cruz,2024-03-31,67.58
21,Santa Fe,2024-03-31,80.4
22,Santiago Del Estero,2024-03-31,49.41
23,Tierra Del Fuego,2024-03-31,109.78
24,Tucumán,2024-03-31,60.48
1,Buenos Aires,2023-12-31,80.96
2,Capital Federal,2023-12-31,117.02
3,Catamarca,2023-12-31,68.63
4,Chaco,2023-12-31,44.35
5,Chubut,2023-12-31,84.96
6,Córdoba,2023-12-31,90.67
7,Corrientes,2023-12-31,52.56
8,Entre Ríos,2023-12-31,69.94
9,Formosa,2023-12-31,39.23
10,Jujuy,2023-12-31,57.78
11,La Pampa,2023-12-31,99.96
12,La Rioja,2023-12-31,80.22
13,Mendoza,2023-12-31,52.15
14,Misiones,2023-12-31,56.27
15,Neuquén,2023-12-31,79.91
16,Río Negro,2023-12-31,70.26
17,Salta,2023-12-31,56.98
18,San Juan,2023-12-31,50.08
19,San Luis,2023-12-31,102.07
20,Santa Cruz,2023-12-31,73.75
21,Santa Fe,2023-12-31,79.75
22,Santiago Del Estero,2023-12-31,49.08
23,Tierra Del Fuego,2023-12-31,110.49
24,Tucumán,2023-12-31,61.04
1,Buenos Aires,2023-09-30,80.64
