Id_Provincia,Provincia,Fecha,Accesos por cada 100 hab
1,Buenos Aires,2024-06-30,27.43
2,Capital Federal,2024-06-30,47.44
3,Catamarca,2024-06-30,17.5
4,Chaco,2024-06-30,11.78
5,Chubut,2024-06-30,26.46
6,Córdoba,2024-06-30,27.79
7,Corrientes,2024-06-30,13.53
8,Entre Ríos,2024-06-30,20.52
9,Formosa,2024-06-30,10.1
10,Jujuy,2024-06-30,14.91
11,La Pampa,2024-06-30,33.33
12,La Rioja,2024-06-30,21.17
13,Mendoza,2024-06-30,14.6
14,Misiones,2024-06-30,15.72
15,Neuquén,2024-06-30,23.49
16,Río Negro,2024-06-30,21.95
17,Salta,2024-06-30,13.49
18,San Juan,2024-06-30,13.03
19,San Luis,2024-06-30,29.59
20,Santa Cruz,2024-06-30,20.8
21,Santa Fe,2024-06-30,25.58
22,Santiago Del Estero,2024-06-30,12.33
23,Tierra Del Fuego,2024-06-30,32.28
24,Tucumán,2024-06-30,15.07
1,Buenos Aires,2024-03-31,27.8
2,Capital Federal,2024-03-31,48.78
3,Catamarca,2024-03-31,17.5
4,Chaco,2024-03-31,12.48
5,Chubut,2024-03-31,26.02
6,Córdoba,2024-03-31,27.77
7,Corrientes,2024-03-31,13.68
8,Entre Ríos,2024-03-31,20.72
9,Formosa,2024-03-31,10.08
10,Jujuy,2024-03-31,14.74
11,La Pampa,2024-03-31,33.11
12,La Rioja,2024-03-31,21.3
13,Mendoza,2024-03-31,14.67
14,Misiones,2024-03-31,15.46
15,Neuquén,2024-03-31,23.66
16,Río Negro,2024-03-31,21.88
17,Salta,2024-03-31,13.63
18,San Juan,2024-03-31,13.15
19,San Luis,2024-03-31,29.39
20,Santa Cruz,2024-03-31,20.1
21,Santa Fe,2024-03-31,25.28
22,Santiago Del Estero,2024-03-31,12.26
23,Tierra Del Fuego,2024-03-31,32.54
24,Tucumán,2024-03-31,14.98
1,Buenos Aires,2023-12-31,27.68
2,Capital Federal,2023-12-31,47.8
3,Catamarca,2023-12-31,17.46
4,Chaco,2023-12-31,11.85
5,Chubut,2023-12-31,26.04
6,Córdoba,2023-12-31,27.76
7,Corrientes,2023-12-31,13.84
8,Entre Ríos,2023-12-31,20.91
9,Formosa,2023-12-31,9.98
10,Jujuy,2023-12-31,14.77
11,La Pampa,2023-12-31,32.93
12,La Rioja,2023-12-31,21.35
13,Mendoza,2023-12-31,14.55
14,Misiones,2023-12-31,15.33
15,Neuquén,2023-12-31,23.78
16,Río Negro,2023-12-31,21.61
17,Salta,2023-12-31,13.8
18,San Juan,2023-12-31,12.75
19,San Luis,2023-12-31,29.21
20,Santa Cruz,2023-12-31,21.94
21,Santa Fe,2023-12-31,25.08
22,Santiago Del Estero,2023-12-31,12.18
23,Tierra Del Fuego,2023-12-31,32.75
24,Tucumán,2023-12-31,15.12
1,Buenos Aires,2023-09-30,27.5
2,Capital Federal,2023-09-30,47.6
3,Catamarca,2023-09-30,17.44
4,Chaco,2023-09-30,11.46
5,Chubut,2023-09-30,25.82
6,Córdoba,2023-09-30,27.57
7,Corrientes,2023-09-30,13.9
8,Entre Ríos,2023-09-30,20.58
9,Formosa,2023-09-30,9.89
10,Jujuy,2023-09-30,14.73
11,La Pampa,2023-09-30,32.62
12,La Rioja,2023-09-30,21.41
13,Mendoza,2023-09-30,14.52
14,Misiones,2023-09-30,15.12
15,Neuquén,2023-09-30,23.8
16,Río Negro,2023-09-30,21.04
17,Salta,2023-09-30,13.94
18,San Juan,2023-09-30,12.85
19,San Luis,2023-09-30,28.2
20,Santa Cruz,2023-09-30,12.17
21,Santa Fe,2023-09-30,24.87
22,Santiago Del Estero,2023-09-30,12.08
23,Tierra Del Fuego,2023-09-30,31.41
24,Tucumán,2023-09-30,15.17
1,Buenos Aires,2023-06-30,27.1
2,Capital Federal,2023-06-30,47.27
3,Catamarca,2023-06-30,17.15
4,Chaco,2023-06-30,11.46
5,Chubut,2023-06-30,25.28
6,Córdoba,2023-06-30,27.59
7,Corrientes,2023-06-30,13.79
8,Entre Ríos,2023-06-30,19.26
9,Formosa,2023-06-30,9.75
10,Jujuy,2023-06-30,14.78
11,La Pampa,2023-06-30,32.4
12,La Rioja,2023-06-30,21.3
13,Mendoza,2023-06-30,14.54
14,Misiones,2023-06-30,15.03
15,Neuquén,2023-06-30,23.5
16,Río Negro,2023-06-30,21.09
17,Salta,2023-06-30,13.92
18,San Juan,2023-06-30,12.1
19,San Luis,2023-06-30,26.73
20,Santa Cruz,2023-06-30,12.39
21,Santa Fe,2023-06-30,24.79
22,Santiago Del Estero,2023-06-30,11.7
23,Tierra Del Fuego,2023-06-30,31.54
24,Tucumán,2023-06-30,15.05
1,Buenos Aires,2023-03-31,26.81
2,Capital Federal,2023-03-31,50.23
3,Catamarca,2023-03-31,16.83
4,Chaco,2023-03-31,11.53
5,Chubut,2023-03-31,26.32
6,Córdoba,2023-03-31,27.2
7,Corrientes,2023-03-31,13.71
8,Entre Ríos,2023-03-31,19.37
9,Formosa,2023-03-31,9.87
10,Jujuy,2023-03-31,14.88
11,La Pampa,2023-03-31,31.81
12,La Rioja,2023-03-31,21.23
13,Mendoza,2023-03-31,14.34
14,Misiones,2023-03-31,14.7
15,Neuquén,2023-03-31,23.38
16,Río Negro,2023-03-31,21.27
17,Salta,2023-03-31,13.97
18,San Juan,2023-03-31,12.67
19,San Luis,2023-03-31,25.8
20,Santa Cruz,2023-03-31,12.92
21,Santa Fe,2023-03-31,24.57
22,Santiago Del Estero,2023-03-31,11.8
23,Tierra Del Fuego,2023-03-31,30.9
24,Tucumán,2023-03-31,14.95
1,Buenos Aires,2022-12-31,26.72
2,Capital Federal,2022-12-31,50.35
3,Catamarca,2022-12-31,16.73
4,Chaco,2022-12-31,11.66
5,Chubut,2022-12-31,26.23
6,Córdoba,2022-12-31,27.26
7,Corrientes,2022-12-31,13.6
8,Entre Ríos,2022-12-31,19.14
9,Formosa,2022-12-31,10.03
10,Jujuy,2022-12-31,14.95
11,La Pampa,2022-12-31,31.23
12,La Rioja,2022-12-31,21.26
13,Mendoza,2022-12-31,14.33
14,Misiones,2022-12-31,14.39
15,Neuquén,2022-12-31,23.41
16,Río Negro,2022-12-31,21.04
17,Salta,2022-12-31,14.04
18,San Juan,2022-12-31,12.96
19,San Luis,2022-12-31,25.83
20,Santa Cruz,2022-12-31,12.95
21,Santa Fe,2022-12-31,24.65
22,Santiago Del Estero,2022-12-31,11.92
23,Tierra Del Fuego,2022-12-31,30.07
24,Tucumán,2022-12-31,15.12
1,Buenos Aires,2022-09-30,26.37
2,Capital Federal,2022-09-30,50.22
3,Catamarca,2022-09-30,16.62
4,Chaco,2022-09-30,11.72
5,Chubut,2022-09-30,25.86
6,Córdoba,2022-09-30,27.04
7,Corrientes,2022-09-30,12.69
8,Entre Ríos,2022-09-30,19.04
9,Formosa,2022-09-30,11.14
10,Jujuy,2022-09-30,15.06
11,La Pampa,2022-09-30,31.82
12,La Rioja,2022-09-30,21.47
13,Mendoza,2022-09-30,14.24
14,Misiones,2022-09-30,14.11
15,Neuquén,2022-09-30,23.92
16,Río Negro,2022-09-30,20.91
17,Salta,2022-09-30,13.99
18,San Juan,2022-09-30,12.94
19,San Luis,2022-09-30,23.39
20,Santa Cruz,2022-09-30,12.85
21,Santa Fe,2022-09-30,24.7
22,Santiago Del Estero,2022-09-30,11.91
23,Tierra Del Fuego,2022-09-30,29.5
24,Tucumán,2022-09-30,15.14
1,Buenos Aires,2022-06-30,26.1292712783274
2,Capital Federal,2022-06-30,49.8735612562611
3,Catamarca,2022-06-30,15.8717901952471
4,Chaco,2022-06-30,11.7025439036955
5,Chubut,2022-06-30,25.4999193362706
6,Córdoba,2022-06-30,26.7815908411335
7,Corrientes,2022-06-30,12.7321469653836
8,Entre Ríos,2022-06-30,19.1046859506594
9,Formosa,2022-06-30,11.0498145911401
10,Jujuy,2022-06-30,14.6569135245407
11,La Pampa,2022-06-30,30.6327215596658
12,La Rioja,2022-06-30,21.3314092169144
13,Mendoza,2022-06-30,13.7822337845706
14,Misiones,2022-06-30,13.8900281819679
15,Neuquén,2022-06-30,23.8174575281712
16,Río Negro,2022-06-30,20.8675435273834
17,Salta,2022-06-30,13.9360105574487
