Fecha,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2024-06-30,733491,5867504,4169958,593197,191957,11556107
2024-03-31,774475,5986957,4015101,598682,257941,11633156
2023-12-31,836390,6022532,3908183,585760,194796,11547661
2023-09-30,897895,6018832,3708718,581436,200027,11406908
2023-06-30,1006509,5997149,3463988,581823,202428,11251897
2023-03-31,1204417,6002582,3243411,576647,214838,11241895
2022-12-31,1315373,6037457,3060575,572969,221740,11208114
2022-09-30,1395277,6031970,2871541,557110,235230,11091128
2022-06-30,1468333,5979214,2723285,556243,231609,10958684
2022-03-31,1533240,6073426,2219533,545814,251996,10624009
2021-12-31,1657615,5984240,2072236,523107,252596,10489794
2021-09-30,1950631,5826257,1566048,492415,250190,10085541
2021-06-30,2018587,5641731,1472246,476968,253552,9863084
2021-03-31,2175211,5424782,1362976,434548,250455,9647972
2020-12-31,2213949,5371824,1311199,421554,253036,9571562
2020-09-30,2263889,5259351,1170879,413259,248821,9356199
2020-06-30,2295533,5005115,1106725,376667,247016,9031056
2020-03-31,2299457,4903674,1047817,352333,209145,8812426
2019-12-31,2414575,4883869,941295,340144,213298,8793181
2019-09-30,2909805,4800091,852221,338241,264326,9164684
2019-06-30,2990457,4635575,760794,308027,265328,8960181
2019-03-31,3132789,4435439,637099,276419,166389,8648135
2018-12-31,3329027,4313831,388013,264299,178485,8473655
2018-09-30,3521447,4238171,247366,246181,93870,8347035
2018-06-30,3557216,4038141,226285,194267,94535,8110444
2018-03-31,3574294,3981129,217460,165300,98870,8037053
2017-12-31,3584311,3818157,211425,155775,100554,7870222
2017-09-30,3622575,3670221,193964,106443,131740,7724943
2017-06-30,3723518,3383434,180777,85813,56122,7429664
2017-03-31,3708898,3276251,180146,84813,55746,7305854
2016-12-31,3722794,3210602,178070,85119,55088,7251673
2016-09-30,3776442,3124855,169898,81455,54300,7206950
2016-06-30,3782085,3035272,167788,85452,59482,7130079
2016-03-31,3792493,2806359,164371,85370,58763,6907356
2015-12-31,3803024,2898226,139187,85726,58668,6984831
2015-09-30,3788696,2840203,162663,84530,58976,6935068
2015-06-30,3767821,2756294,150839,82077,59157,6816188
2015-03-31,3756153,2668248,168188,79098,66045,6737732
2014-12-31,3764038,2536219,149682,76984,71573,6598496
2014-09-30,3714764,2569868,155494,85096,70049,6595271
2014-06-30,3708882,2461670,149363,72405,72148,6464468
2014-03-31,3697066,2407330,150323,70749,72930,6398398
